iter	Passed	Remaining
0	67	67253
1	68	33966
2	68	22865
3	69	17308
4	70	13956
5	70	11723
6	71	10124
7	72	8935
8	72	7994
9	73	7240
10	73	6628
11	74	6116
12	74	5685
13	75	5315
14	76	4993
15	76	4715
16	77	4466
17	77	4247
18	78	4050
19	78	3868
20	79	3704
21	79	3553
22	80	3417
23	80	3291
24	81	3182
25	82	3083
26	82	2989
27	83	2899
28	84	2816
29	84	2747
30	85	2674
31	86	2605
32	86	2541
33	87	2480
34	87	2423
35	88	2371
36	89	2322
37	89	2273
38	96	2372
39	96	2327
40	97	2284
41	98	2245
42	99	2206
43	99	2166
44	100	2128
45	100	2092
46	101	2061
47	102	2034
48	103	2001
49	103	1968
50	104	1941
51	105	1919
52	106	1911
53	108	1892
54	108	1866
55	109	1842
56	109	1818
57	111	1808
58	112	1786
59	112	1763
60	113	1743
61	113	1723
62	114	1704
63	115	1683
64	115	1663
65	116	1643
66	116	1624
67	117	1606
68	127	1720
69	128	1701
70	128	1682
71	129	1663
72	129	1645
73	130	1627
74	130	1610
75	131	1594
76	131	1577
77	132	1561
78	132	1546
79	133	1534
80	134	1520
81	134	1507
82	134	1491
83	135	1477
84	136	1464
85	136	1451
86	137	1438
87	137	1426
88	138	1415
89	139	1405
90	139	1395
91	140	1386
92	141	1376
93	141	1366
94	142	1355
95	142	1345
96	143	1335
97	143	1325
98	144	1315
99	145	1305
100	145	1299
101	146	1290
102	147	1283
103	147	1273
104	148	1265
105	148	1256
106	149	1247
107	150	1238
108	150	1230
109	151	1222
110	151	1214
111	152	1207
112	152	1199
113	153	1191
114	153	1183
115	154	1176
116	154	1167
117	155	1160
118	155	1154
119	156	1146
120	156	1140
121	157	1133
122	158	1126
123	158	1122
124	159	1118
125	163	1133
126	165	1140
127	167	1141
128	170	1148
129	171	1145
130	172	1142
131	172	1136
132	173	1130
133	174	1125
134	174	1119
135	175	1113
136	175	1108
137	176	1103
138	177	1099
139	178	1094
140	178	1088
141	179	1081
142	179	1076
143	180	1071
144	180	1065
145	181	1060
146	181	1055
147	182	1050
148	183	1046
149	184	1043
